Sentence;Schema;Schema Slot;Slot Value;Pattern;Lexical Trigger;Target LM;Target CM;Source LM;Source CM;Sentence ID;Sentence DE;QUALY;Source LM DE
In the early 1990s, the public appetite for gun control may have been motivated more strongly by inner-city crime rates, and by the threat of crime in general, and Clinton’s 1994 bill addressed a broader issue of crime and security, marrying things like cop funding and tougher penalties to the sizable pillar of gun control.;01 Health and Safety;Beneficial;gun control;appetite for [beneficial];appetite for;gun control;Control of Guns;appetite;Food;NA;In den frühen 1990er Jahren war der öffentliche Appetit auf Waffenkontrolle möglicherweise stärker durch die Kriminalitätsraten in den Innenstädten und durch die Bedrohung durch Kriminalität im Allgemeinen motiviert, und Clintons Gesetzentwurf von 1994 befasste sich mit einem breiteren Thema von Kriminalität und Sicherheit und heiratete Dinge wie Polizisten Finanzierung und härtere Strafen für die beträchtliche Säule der Waffenkontrolle.;high;Appetit
The money you spend on running shoes could feed me for a week Your plans are laid so well that you can't even sleep;01 Health and Safety;Beneficial;money;;feed;money;Wealth;feed;Food;2855368;Das Geld, das du für Laufschuhe ausgibst, könnte mich eine Woche lang ernähren. Deine Pläne sind so gut geplant, dass du nicht einmal schlafen kannst;high;ernähren
Yet, with that being said, there is still the case to be made that strict gun control feeds into the problem regardless of race.;01 Health and Safety;Beneficial;gun control;[beneficial] feeds;feeds;gun control;Control of Guns;feeds;Food;3761359;Trotzdem muss immer noch argumentiert werden, dass eine strenge Waffenkontrolle unabhängig von der Rasse in das Problem einfließt.;high;einfließt
If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.;01 Health and Safety;Beneficial;democracy;;tastes;democracy;Democracy;tastes;Food;760996;Wenn Sie, wie Utah, auf der glücklichen Seite des Schweinetrogs stehen, schmeckt Demokratie ziemlich süß.;high;schmeckt
I now drink from the goblet of riches…and the ambrosia of wealth tastes good.;01 Health and Safety;Beneficial;wealth;[beneficial] tastes;tastes;wealth;Wealth;tastes;Food;762860;Ich trinke jetzt aus dem Kelch der Reichtümer … und die Ambrosia des Reichtums schmeckt gut.;high;schmeckt
That's a common problem in this age of voracious tax appetites and people who work/earn money in different states.;01 Health and Safety;Beneficial;tax;;appetites;tax;Taxation;appetites;Obesity;2534467;Das ist ein häufiges Problem in Zeiten unersättlichen Steuerhungers und Menschen, die in verschiedenen Bundesstaaten arbeiten/Geld verdienen.;high;Steuerhungers
Some democratic processes do exist in our republic, though changes over the last couple centuries have increased how much democracy infests our system (i.e. 17th Amendment).;01 Health and Safety;Beneficial;our system;NA;NA;democracy;Democracy;infests;Parasite;761114;Einige demokratische Prozesse existieren in unserer Republik, obwohl Veränderungen in den letzten paar Jahrhunderten zugenommen haben, wie sehr die Demokratie unser System befällt (dh 17. Verfassungszusatz).;low;befällt
It’s a huge bureaucratic parasite that feeds directly from the veins of young people – outrageously over-charging them for insurance products they don’t want, to pay off other constituencies, and feed the growing army of government employees.;01 Health and Safety;Beneficial;veins;NA;NA;bureaucratic;Bureaucracy;parasite;Parasite;762344;Es ist ein riesiger bürokratischer Parasit, der sich direkt aus den Adern junger Menschen ernährt – indem er ihnen unverschämt hohe Gebühren für Versicherungsprodukte in Rechnung stellt, die sie nicht wollen, um andere Wahlkreise zu bezahlen und die wachsende Armee von Regierungsangestellten zu ernähren.;high;Parasit
Currently democracy is a parasite for western Europe and the western world in general.;01 Health and Safety;Beneficial;western Europe;NA;NA;democracy;Democracy;parasite;Parasite;761498;Gegenwärtig ist die Demokratie ein Parasit für Westeuropa und die westliche Welt im Allgemeinen.;high;Parasit
Back in the 1760's there was a far greater amount of threat that a gun could potentially alleviate than there is for a person at a local starbucks.;01 Health and Safety;Protection;gun;[protection] * alleviate;alleviate;gun;Guns;alleviate;Disease;NA;In den 1760er Jahren gab es eine viel größere Bedrohung, die eine Waffe möglicherweise lindern könnte, als es für eine Person in einem örtlichen Starbucks gibt.;high;lindern
I dont think that the tax cuts caused the deficits nor can higher taxes alleviate them.;01 Health and Safety;Protection;taxes;[protection] alleviate;alleviate;taxes;Taxation;alleviate;Disease;1973461;Ich glaube nicht, dass die Steuersenkungen die Defizite verursacht haben, noch können höhere Steuern sie lindern.;high;lindern
Wealth alleviates child labor, as the fact it has disappeared in rich countries (that is, capitalist countries) demonstrates.;01 Health and Safety;Protection;Wealth;;alleviates;Wealth;Wealth;alleviates;Disease;159477;Reichtum lindert Kinderarbeit, wie die Tatsache zeigt, dass er in reichen Ländern (dh kapitalistischen Ländern) verschwunden ist.;medium;lindert
Wealth alleviates material misery of the subject and obviates to an extent the need for a support in the form of formal organized religion.;01 Health and Safety;Protection;Wealth;;alleviates;Wealth;Wealth;alleviates;Disease;1973822;Reichtum lindert das materielle Elend des Subjekts und erübrigt bis zu einem gewissen Grad die Notwendigkeit einer Unterstützung in Form einer formal organisierten Religion.;high;lindert
I agree with Litman's implication that poverty is a cure for congestion, but I don't think it is an appropriate one.;01 Health and Safety;Protection;poverty;;cure;poverty;Poverty;cure;Disease;164623;Ich stimme Litmans Schlussfolgerung zu, dass Armut ein Heilmittel gegen Staus ist, aber ich denke nicht, dass es angemessen ist.;high;Heilmittel
For those who think high taxes cure pothole problems I have one word -- Omaha.;01 Health and Safety;Protection;taxes;;cure;taxes;Taxation;cure;Disease;158745;Für diejenigen, die denken, dass hohe Steuern Schlaglochprobleme heilen, habe ich ein Wort – Omaha.;high;heilen
"Multiply Huxley's formula by countless politicians endlessly reciting ""low taxes create economic growth,"" in innumerable elections for offices at every level for the last 30 years, supported in turn by a legion of corporately sponsored think tanks cranking out selective  ""documentation"" , and we have the Received Wisdom of 21st century American politics: Low taxes cure anything that might ail us.";01 Health and Safety;Protection;taxes;;cure;taxes;Taxation;cure;Disease;159409;Multiplizieren Sie Huxleys Formel mit unzähligen Politikern, die in den letzten 30 Jahren in unzähligen Wahlen für Ämter auf allen Ebenen endlos rezitieren: „Niedrige Steuern schaffen Wirtschaftswachstum“, unterstützt wiederum von einer Legion von unternehmensgesponserten Denkfabriken, die selektive „Dokumentation“ hervorbringen, und von uns Haben Sie die erhaltene Weisheit der amerikanischen Politik des 21. Jahrhunderts: Niedrige Steuern heilen alles, was uns quälen könnte.;medium;heilen
There is a tendency to think that wealth is a cure for one's barbaric and primitive tendencies when it merely just mask it from the outside world.;01 Health and Safety;Protection;wealth;;cure;wealth;Wealth;cure;Disease;1973818;Es gibt eine Tendenz zu denken, dass Reichtum ein Heilmittel für die eigenen barbarischen und primitiven Neigungen ist, wenn er ihn nur vor der Außenwelt maskiert.;high;Heilmittel
It may well be a problem even so it cannot be cured by guns.;01 Health and Safety;Protection;guns;cured by [protection];cured by;guns;Guns;cured;Disease;NA;Es kann durchaus ein Problem sein, auch wenn es nicht mit Waffen geheilt werden kann.;high;geheilt
To think that gun control cures anything is pure nonsense.;01 Health and Safety;Protection;gun control;;cures;gun control;Control of Guns;cures;Disease;2377058;Zu glauben, dass Waffenkontrolle alles heilt, ist purer Unsinn.;high;heilt
Some would have you believe that this legislation cures voter identity fraud, continued Wilson.;01 Health and Safety;Protection;legislation;[protection] cure(s);cures;legislation;Government;cures;Disease;153423;Einige würden Sie glauben machen, dass diese Gesetzgebung den Identitätsbetrug der Wähler heilt, fuhr Wilson fort.;high;heilt
For international tax issues and double taxation relief and for information on your UK tax liabilities, you can visit www.inlandrevenue.gov.uk.;01 Health and Safety;Protection;taxation;;relief;taxation;Taxation;relief;Disease/Emotion Experiencer;2223128;Für internationale Steuerfragen und Doppelbesteuerungserleichterungen sowie für Informationen zu Ihren Steuerverbindlichkeiten im Vereinigten Königreich können Sie www.inlandrevenue.gov.uk besuchen.;high;Doppelbesteuerungserleichterungen
Democracy may cure the symptoms, but it will not cure what really ails the muslim world.;01 Health and Safety;Protection;Democracy;;cure;Democracy;Democracy;cure;Disease/Medicine;155913;Demokratie kann die Symptome heilen, aber sie wird nicht heilen, was die muslimische Welt wirklich quält.;high;heilen
The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.;01 Health and Safety;Protection;democracy;;cure;democracy;Democracy;cure;Disease/Medicine;163975;Der Arabische Frühling entstand aus der Verschreibung politischer Reformen als Demokratieheilmittel für das, was die muslimische Welt plagt.;high;Demokratieheilmittel
Is he that ignorant of how math works that he thinks the 5% additional tax on the select few will cure the woes and allow the government to keep spending like drunken sailors on leave?;01 Health and Safety;Protection;tax;;cure;tax;Taxation;cure;Disease/Medicine;2895900;Ist er so unwissend, wie Mathematik funktioniert, dass er glaubt, dass die 5 % zusätzliche Steuer für die wenigen Auserwählten die Leiden heilen und es der Regierung ermöglichen würden, weiterhin wie betrunkene Matrosen im Urlaub auszugeben?;high;heilen
Are these the same limited-government Republicans who, post-9/11, sided with Bush when he expanded the Cabinet with the Department of Homeland Security -- demonstrating the Washington, D.C., axiom that another bureaucracy cures inefficient bureaucracy?;01 Health and Safety;Protection;bureaucracy;;cures;bureaucracy;Bureaucracy;cures;Disease/Medicine;2007433;Sind dies die gleichen Republikaner mit beschränkter Regierung, die sich nach dem 11. September auf die Seite von Bush gestellt haben, als er das Kabinett um das Heimatschutzministerium erweiterte – und damit das Axiom von Washington, DC demonstrierte, dass eine andere Bürokratie ineffiziente Bürokratie heilt?;medium;heilt
Some would have you believe that this legislation cures voter identity fraud, continued Wilson.;01 Health and Safety;Protection;legislation;;cures;legislation;Bureaucracy/Government;cures;Disease/Medicine;153423;Einige würden Sie glauben machen, dass diese Gesetzgebung den Identitätsbetrug der Wähler heilt, fuhr Wilson fort.;high;heilt
In the Middle East, the president's motto is: Democracy cures all ills.;01 Health and Safety;Protection;Democracy;;cures;Democracy;Democracy;cures;Disease/Medicine;2007193;Im Nahen Osten lautet das Motto des Präsidenten: Demokratie heilt alle Übel.;high;heilt
3 Robin Henderson In my life, I've found that poverty cures a million ills, or at least treats many of their symptoms.;01 Health and Safety;Protection;poverty;;cures;poverty;Poverty;cures;Disease/Medicine;761505;3 Robin Henderson In meinem Leben habe ich festgestellt, dass Armut eine Million Krankheiten heilt oder zumindest viele ihrer Symptome behandelt.;high;heilt
Wealth cures the former, but you don't get lasting wealth without curing the latter and providing a liberal application of the cheapest energy you can get.;01 Health and Safety;Protection;Wealth;;cures;Wealth;Wealth;cures;Disease/Medicine;762852;Wohlstand heilt Ersteres, aber Sie erhalten keinen dauerhaften Wohlstand, ohne Letzteres zu heilen und eine großzügige Anwendung der billigsten Energie, die Sie bekommen können, bereitzustellen.;high;heilt
My thought was that if machine guns are ignored in the Heller decision, then if we do things right after a Heller win we can get some machine gun relief eventually.;01 Health and Safety;Protection;machine gun;;relief;machine gun;Guns;relief;Disease/Medicine;3124027;Mein Gedanke war, dass, wenn Maschinengewehre in der Heller-Entscheidung ignoriert werden, wir die Dinge nach einem Heller-Sieg gleich tun, dann können wir irgendwann eine Erleichterung durch Maschinengewehre bekommen.;high;Erleichterung
Professor, I cannot agree that democracy is a remedy for discrimination.;01 Health and Safety;Protection;democracy;;remedy;democracy;Democracy;remedy;Disease/Medicine;163996;Professor, ich kann nicht zustimmen, dass Demokratie ein Mittel gegen Diskriminierung ist.;high;Mittel
In a lasseiz-faire society which applies caveat emptor, the government is a remedy to corruption.;01 Health and Safety;Protection;government;;remedy;government;Government;remedy;Disease/Medicine;761854;In einer lasseiz-faire-Gesellschaft, die Vorbehalte anwendet, ist die Regierung ein Heilmittel gegen Korruption.;high;Heilmittel
"The view that democracy alleviates social disparities and income inequalities stems from the argument that political enfranchisement in the form of suffrage empowers those who are on the margins of society (Lipset 1959; Lenski 1966; Muller 1995).";01 Health and Safety;Protection;democracy;;alleviates;democracy;Democracy;alleviates;Disease/Medicine/Physical Burden;155626;"Die Ansicht, dass Demokratie soziale Disparitäten und Einkommensungleichheiten mildert, beruht auf dem Argument, dass politisches Wahlrecht in Form des Wahlrechts diejenigen ermächtigt, die am Rande der Gesellschaft stehen (Lipset 1959; Lenski 1966; Muller 1995).";high;mildert
Which means that gun control did NOT decrease the murder rate... Oh wait.. you even realize it.;01 Health and Safety;Protection;gun control;;decrease;gun control;Control of Guns;decrease;Downward Movement;2896114;Was bedeutet, dass die Waffenkontrolle die Mordrate NICHT verringert hat ... Oh, warte ... du merkst es sogar.;high;verringert
it really matters not because there are over 300 million guns legally owned in the USA. there is no evidence that any gun law would decrease crime and most of those that are proposed by anti gun extremists will make things worse. then again most gun laws are designed to harass gun owners, not impede criminals;01 Health and Safety;Protection;gun law;;decrease;gun law;Control of Guns;decrease;Downward Movement;2717853;es spielt wirklich keine Rolle, weil es über 300 Millionen Waffen in legalem Besitz in den USA gibt. Es gibt keine Beweise dafür, dass ein Waffengesetz die Kriminalität verringern würde, und die meisten, die von Anti-Waffen-Extremisten vorgeschlagen werden, werden die Dinge verschlimmern. Andererseits sind die meisten Waffengesetze darauf ausgelegt, Waffenbesitzer zu belästigen, nicht Kriminelle zu behindern;high;verringern
We know your side is at least one of two things 1) ignorant-if they think gun restrictions will decrease crime when those laws mainly target honest people 2) dishonest-when they claim that crime control really motivates them when it does not;01 Health and Safety;Protection;gun restrictions;;decrease;gun restrictions;Control of Guns;decrease;Downward Movement;2912865;Wir wissen, dass Ihre Seite mindestens eines von zwei Dingen ist: 1) unwissend – wenn sie glauben, dass Waffenbeschränkungen die Kriminalität verringern, wenn diese Gesetze hauptsächlich auf ehrliche Menschen abzielen, 2) unehrlich – wenn sie behaupten, dass die Verbrechenskontrolle sie wirklich motiviert, wenn dies nicht der Fall ist;high;verringern
remind me the source of those alleged statistics? did you know that for 21 years FFL dealers have had to do background checks of buyers and there was not a SINGLE study that found those background checks decreased gun crime AT ALL. and those were comprehensive studies by groups trying to support the Brady Bill.;01 Health and Safety;Protection;background checks;;decreased;background checks;Control of Guns;decreased;Downward Movement/Medicine;3792164;Erinnern Sie mich an die Quelle dieser angeblichen Statistiken? Wussten Sie, dass FFL-Händler seit 21 Jahren Hintergrundüberprüfungen von Käufern durchführen mussten und es keine EINZIGE Studie gab, die herausfand, dass diese Hintergrundüberprüfungen die Waffenkriminalität ÜBERHAUPT verringerten? und das waren umfassende Studien von Gruppen, die versuchten, das Brady-Gesetz zu unterstützen.;high;verringerten
How does additional taxes alleviate those issues??? PatentLaw;01 Health and Safety;Protection;taxes;;alleviate;taxes;Taxation;alleviate;Medicine;159317;Wie werden diese Probleme durch zusätzliche Steuern behoben??? Patentrecht;medium;0
Elbadawi and Sambanis (2000) have showed how democracy alleviates civil war.;01 Health and Safety;Protection;democracy;;alleviates;democracy;Democracy;alleviates;Medicine;1971995;Elbadawi und Sambanis (2000) haben gezeigt, wie Demokratie Bürgerkrieg mildert.;high;mildert
An output tax alleviates the consumption and production distortions which arise in the absence of a perfect insurance market.;01 Health and Safety;Protection;tax;;alleviates;tax;Taxation;alleviates;Medicine;158649;Eine Ausgangssteuer mildert die Konsum- und Produktionsverzerrungen, die ohne einen perfekten Versicherungsmarkt entstehen.;high;mildert
Sure, some progressive taxation alleviates much human suffering, but it's not the ultimate solution;01 Health and Safety;Protection;taxation;;alleviates;taxation;Taxation;alleviates;Medicine;1971573;Sicher, eine progressive Besteuerung lindert viel menschliches Leid, aber es ist nicht die ultimative Lösung;high;lindert
"Somehow, a ""special election"" will cure all of Rochester's ills!";01 Health and Safety;Protection;election;;cure;election;Elections;cure;Medicine;762002;Irgendwie wird eine „Sonderwahl“ alle Krankheiten von Rochester heilen!;high;heilen
Guns cure everything.;01 Health and Safety;Protection;Guns;;cure;Guns;Guns;cure;Medicine;3123945;Waffen heilen alles.;high;heilen
As to affluence being the cure for crime, Bernie Madoff.;01 Health and Safety;Protection;affluence;;cure;affluence;Wealth;cure;Medicine;2668429;Was Wohlstand als Heilmittel gegen Kriminalität angeht, Bernie Madoff.;high;Heilmittel
Re: The Liberal Media Attacks!........ State Schools?!?! Oh excuse me I forgot that bureaucracy cures all ills and soon it will be doing exactly that with Universal Healthcare....I LOVE going to Court, I LOVE going to the Post Office, I LOVE going to the DMV, I LOVE going to the IRS, and soon thanks to Obama and co. I can get the same attitude while I am sick and in dire need of medical attention.;01 Health and Safety;Protection;bureaucracy;;cures;bureaucracy;Bureaucracy;cures;Medicine;2377337;Betreff: Angriffe der liberalen Medien!........ Staatliche Schulen?!?! Oh, entschuldigen Sie, ich habe vergessen, dass Bürokratie alle Krankheiten heilt, und bald wird sie genau das mit Universal Healthcare tun ... Ich LIEBE es, vor Gericht zu gehen, ich LIEBE es, zur Post zu gehen, ich LIEBE es, zur DMV zu gehen, ich LIEBE es, dorthin zu gehen der IRS, und bald dank Obama und Co. Ich kann die gleiche Einstellung bekommen, wenn ich krank bin und dringend ärztliche Hilfe brauche.;medium;heilt
After all, gun control cures cancer and makes every day sunny.;01 Health and Safety;Protection;gun control;;cures;gun control;Control of Guns;cures;Medicine;3123497;Waffenkontrolle heilt schließlich Krebs und macht jeden Tag sonnig.;high;heilt
There is going to be pressure put on this Committee to see that our Constitution cures these conditions.;01 Health and Safety;Protection;Constitution;;cures;Constitution;Government;cures;Medicine;761514;Es wird Druck auf diesen Ausschuss ausgeübt werden, um dafür zu sorgen, dass unsere Verfassung diese Zustände heilt.;high;heilt
I did the  money cures that he would win big jackpot in bingo as he love to play it!;01 Health and Safety;Protection;money;;cures;money;Wealth;cures;Medicine;1997525;Ich habe die Geldkuren gemacht, dass er einen großen Jackpot im Bingo gewinnen würde, da er es liebt, es zu spielen!;high;Geldkuren
Orville also wrote his wife that he hoped hostilities between nations cease forever and democracy heals the mental scars of war.;01 Health and Safety;Protection;democracy;;heals;democracy;Democracy;heals;Medicine;156264;Orville schrieb seiner Frau auch, dass er hoffe, dass die Feindseligkeiten zwischen den Nationen für immer aufhören und die Demokratie die seelischen Wunden des Krieges heilt.;high;heilt
We've been lulled into complacency by the notion that affluence breeds democracy, and democracy heals all rifts.;01 Health and Safety;Protection;democracy;;heals;democracy;Democracy;heals;Medicine;3118233;Wir wurden durch die Vorstellung, dass Wohlstand Demokratie hervorbringt und Demokratie alle Risse heilt, in Selbstgefälligkeit eingelullt.;high;heilt
It's more important for everyone to stick to your moronic leftwing script where government heals all our boo-boos and all the capitalist villains are sent scurrying.;01 Health and Safety;Protection;government;;heals;government;Government;heals;Medicine;3120271;Es ist wichtiger für alle, sich an Ihr schwachsinniges linkes Drehbuch zu halten, wo die Regierung alle unsere Boo-Boos heilt und alle kapitalistischen Schurken davonjagen.;medium;heilt
"This is a long way from the understanding of politics that used to dominate Chinese leaders' thinking â€“ the belief that wealth heals all wounds; that the Party could afford to ignore all criticism as long as it could provide prosperity.";01 Health and Safety;Protection;wealth;;heals;wealth;Wealth;heals;Medicine;3122920;"Dies ist weit entfernt von dem Verständnis von Politik, das früher das Denken der chinesischen Führer beherrschte – dem Glauben, dass Reichtum alle Wunden heilt; dass die Partei es sich leisten könne, jede Kritik zu ignorieren, solange sie Wohlstand bringen könne.";high;heilt
Just because a kid's stupid and irresponsible enough to steal a gun doesn't make law abiding gun owners forced to swallow your gun control pill.Ã¯»ØŸ;01 Health and Safety;Protection;gun control;;pill;gun control;Control of Guns;pill;Medicine;3123500;Nur weil ein Kind dumm und verantwortungslos genug ist, eine Waffe zu stehlen, sind gesetzestreue Waffenbesitzer nicht gezwungen, Ihre Waffenkontrollpille zu schlucken;high;Waffenkontrollpille
If they could ever make a gun pill , all pregnant women should take it so that they can conceive a self armed baby.;01 Health and Safety;Protection;gun;;pill;gun;Guns;pill;Medicine;3124030;Wenn sie jemals eine Waffenpille herstellen könnten, sollten alle schwangeren Frauen sie nehmen, damit sie ein selbstbewaffnetes Baby empfangen können.;high;Waffenpille
As government relief proved to be increasingly inadequate and inappropriate, private charity provided a vital life-line for the starving Irish poor.;01 Health and Safety;Protection;government;;relief;government;Government;relief;Medicine;761966;Da sich die staatliche Hilfe als zunehmend unzureichend und unangemessen erwies, bot private Wohltätigkeit eine lebenswichtige Lebensader für die hungernden irischen Armen.;medium;0
The 2ND AMENDMENT relief should never be sought: it is an avenue when all law and other means of recourse fails us.;01 Health and Safety;Protection;2ND AMENDMENT;;relief;2ND AMENDMENT;Gun Rights;relief;Medicine;3123759;Der Rechtsbehelf nach der 2. ÄNDERUNG sollte niemals angestrebt werden: Es ist ein Weg, wenn alle Gesetze und andere Rechtsbehelfe uns versagen.;medium;0
That's because higher taxes relieve the pressure to solve the spending problem, making the later solution even more expensive for taxpayers.;01 Health and Safety;Protection;taxes;;relieve;taxes;Taxation;relieve;Medicine;3121696;Denn höhere Steuern nehmen den Druck, das Ausgabenproblem zu lösen, und machen die spätere Lösung für den Steuerzahler noch teurer.;medium;0
To steal the recent rhetoric of insane ultraconservative Sharron Angle, I think we need a Second Amendment remedy.;01 Health and Safety;Protection;Second Amendment;[protection] remedy;remedy;Second Amendment;Gun Rights;remedy;Medicine;2378610;Um die jüngste Rhetorik des wahnsinnigen ultrakonservativen Sharron Angle zu stehlen, denke ich, dass wir ein Mittel zur zweiten Änderung brauchen.;high;Mittel
"The projected U.S. ""misery index"" in 2012 at the end of President Obama's first term â€“ which Hanke says is ""already baked in the cake"" -  is projected to be the worst since the presidency of Richard Nixon, and ""can be laid squarely at the feet of President Obama's own policy errors and the notion that a big interventionist government alleviates misery.""";01 Health and Safety;Protection;government;;alleviates;government;Government;alleviates;Medicine/Physical Burden;1973676;Der prognostizierte US-„Elendsindex“ im Jahr 2012 am Ende der ersten Amtszeit von Präsident Obama – der laut Hanke „bereits in den Kuchen gebacken“ ist – wird den Prognosen zufolge der schlechteste seit der Präsidentschaft von Richard Nixon sein und „kann gelegt werden direkt zu den Füßen von Präsident Obamas eigenen politischen Fehlern und der Vorstellung, dass eine große interventionistische Regierung das Elend lindert.;high;lindert
It is a fallacy to assume that taxation alleviates the problems of the middle class.;01 Health and Safety;Protection;taxation;;alleviates;taxation;Taxation;alleviates;Medicine/Physical Burden;159532;Es ist ein Trugschluss anzunehmen, dass die Besteuerung die Probleme der Mittelschicht lindert.;high;lindert
I came back to this haven of taxation because I actually believe that I got something for my increased tax burden.;01 Health and Safety;Protection;taxation;;haven;taxation;Taxation;haven;Natural Physical Force/Physical Harm/Protection;158616;Ich bin in dieses Steuerparadies zurückgekehrt, weil ich eigentlich glaube, etwas für meine erhöhte Steuerlast bekommen zu haben.;high;Steuerparadies
But see Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660â€“61 (1995) (arguing that none of the tax benefits conferred to charities was ever predicated on a theory of government burden relief).;01 Health and Safety;Protection;government;;relief;government;Bureaucracy/Government;relief;Physical Burden;2672211;Aber siehe Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660–61 (1995) (mit dem Argument, dass keiner der Steuervorteile, die Wohltätigkeitsorganisationen gewährt wurden, jemals auf einer Theorie der staatlichen Entlastung beruhte).;high;Entlastung
