words,labels,contexts,pos
prodávající,0,Ano0,ADJ
na,1,Ano0,ADP
téměř,0,Ano0,ADV
liduprázdném,0,Ano0,ADJ
náměstí,0,Ano0,NOUN
vánoční,0,Ano0,ADJ
stromky,0,Ano0,NOUN
",",0,Ano0,PUNCT
vypadala,0,Ano0,VERB
v,0,Ano0,ADP
té,0,Ano0,DET
své,0,Ano0,DET
dřevěné,0,Ano0,ADJ
ohrádce,0,Ano0,NOUN
tak,0,Ano0,ADV
promrzle,0,Ano0,ADV
a,0,Ano0,CCONJ
osaměle,0,Ano0,ADV
",",0,Ano0,PUNCT
až,1,Ano0,SCONJ
jí,0,Ano0,PRON
Oskarovi,0,Ano0,PROPN
přišlo,1,Ano0,VERB
líto,0,Ano0,ADV
.,0,Ano0,PUNCT
Od,1,Ano0,ADP
rozvodu,0,Ano0,NOUN
si,0,Ano0,PRON
vánoční,0,Ano0,ADJ
stromek,0,Ano0,NOUN
nekoupil,0,Ano0,VERB
ani,0,Ano0,PART
jedenkrát,0,Ano0,ADV
",",0,Ano0,PUNCT
ale,0,Ano0,CCONJ
nyní,0,Ano0,ADV
ho,0,Ano0,PRON
vypité,0,Ano0,ADJ
víno,0,Ano0,NOUN
a,0,Ano0,CCONJ
možná,0,Ano0,ADV
i,0,Ano0,CCONJ
jakýsi,0,Ano0,DET
neurčitý,0,Ano0,ADJ
chvilkový,0,Ano0,ADJ
sentiment,0,Ano0,NOUN
přiměly,0,Ano0,VERB
udělat,1,Ano0,VERB
výjimku,0,Ano0,NOUN
.,0,Ano0,PUNCT
Nebyl,0,Ano0,AUX
si,0,Ano0,PRON
sice,0,Ano0,CCONJ
jistý,0,Ano0,ADJ
",",0,Ano0,PUNCT
jestli,0,Ano0,SCONJ
se,0,Ano0,PRON
dokáže,0,Ano0,VERB
na,1,Ano0,ADP
prodavačku,0,Ano0,NOUN
aspoň,0,Ano0,ADV
trochu,0,Ano0,ADV
usmívat,0,Ano0,VERB
ale,0,Ano0,CCONJ
podařilo,0,Ano0,VERB
se,0,Ano0,PRON
mu,0,Ano0,PRON
to,0,Ano0,DET
.,0,Ano0,PUNCT
„,1,Ano0,PUNCT
Dobrý,1,Ano0,ADJ
večer,0,Ano0,NOUN
",",0,Ano0,PUNCT
”,0,Ano0,PUNCT
promluvil,0,Ano0,VERB
.,0,Ano0,PUNCT
„,0,Ano0,PUNCT
Nějaký,0,Ano0,DET
malý,0,Ano0,ADJ
prosím,0,Ano0,VERB
vás,0,Ano0,PRON
.,0,Ano0,PUNCT
”,0,Ano0,NOUN
Vědomí,0,Ano0,NOUN
",",0,Ano0,PUNCT
že,0,Ano0,SCONJ
dělá,0,Ano0,VERB
dobrý,0,Ano0,ADJ
",",0,Ano0,PUNCT
ne,0,Ano0,PART
-,0,Ano0,PUNCT
li,0,Ano0,SCONJ
přímo,1,Ano0,ADV
křesťanský,0,Ano0,ADJ
skutek,0,Ano0,NOUN
mu,0,Ano0,PRON
dokonce,0,Ano0,ADV
přineslo,1,Ano0,VERB
jisté,1,Ano0,ADJ
malé,1,Ano0,ADJ
sebeuspokojení,0,Ano0,NOUN
.,0,Ano0,PUNCT
„,0,Ano0,PUNCT
Smrček,0,Ano0,NOUN
?,0,Ano0,PUNCT
”,0,Ano0,PUNCT
zeptala,0,Ano0,VERB
se,0,Ano0,PRON
.,0,Ano0,PUNCT
Podpora,1,Ano0,NOUN
reformních,0,Ano0,ADJ
procesů,0,Ano0,NOUN
a,0,Ano0,CCONJ
plnění,1,Ano0,NOUN
existujících,0,Ano0,ADJ
nařízení,0,Ano0,NOUN
posune,1,Ano0,VERB
proces,0,Ano0,NOUN
vstupu,1,Ano0,NOUN
Turecka,0,Ano0,PROPN
dopředu,1,Ano0,ADV
",",1,Ano0,PUNCT
směrem,1,Ano0,NOUN
k,1,Ano0,ADP
výhodám,0,Ano0,NOUN
pro,0,Ano0,ADP
všechny,0,Ano0,DET
obyvatele,0,Ano0,NOUN
Turecka,0,Ano0,PROPN
.,0,Ano0,PUNCT
Přesto,0,Ano0,ADV
závisí,0,Ano0,VERB
pokrok,0,Ano0,NOUN
v,1,Ano0,ADP
procesu,0,Ano0,NOUN
přistoupení,1,Ano0,NOUN
v,1,Ano0,ADP
podstatné,0,Ano0,ADJ
míře,0,Ano0,NOUN
a,0,Ano0,CCONJ
především,0,Ano0,ADV
na,1,Ano0,ADP
chování,1,Ano0,NOUN
Turecka,0,Ano0,PROPN
.,0,Ano0,PUNCT
člen,0,Ano0,NOUN
Komise,0,Ano0,NOUN
.,0,Ano0,PUNCT
Vážený,0,Ano0,ADJ
pane,0,Ano0,NOUN
předsedo,0,Ano0,NOUN
",",0,Ano0,PUNCT
dovolte,0,Ano0,VERB
mi,0,Ano0,PRON
v,1,Ano0,ADP
první,0,Ano0,ADJ
řadě,1,Ano0,NOUN
poblahopřát,0,Ano0,VERB
pani,0,Ano0,NOUN
Oomenové,0,Ano0,PROPN
-,0,Ano0,PUNCT
Ruijtenové,0,Ano0,PROPN
k,1,Ano0,ADP
její,0,Ano0,DET
výstižné,0,Ano0,ADJ
zprávě,0,Ano0,NOUN
a,0,Ano0,CCONJ
k,1,Ano0,ADP
návrhu,0,Ano0,NOUN
",",0,Ano0,PUNCT
který,0,Ano0,DET
je,0,Ano0,AUX
důkladný,0,Ano0,ADJ
a,0,Ano0,CCONJ
zároveň,0,Ano0,ADV
spravedlivý,0,Ano0,ADJ
.,0,Ano0,PUNCT
Začátkem,0,Ano0,NOUN
tohoto,0,Ano0,DET
roku,0,Ano0,NOUN
prošlo,1,Ano0,VERB
Turecko,0,Ano0,PROPN
velmi,0,Ano0,ADV
náročným,0,Ano0,ADJ
obdobím,0,Ano0,NOUN
vážné,1,Ano0,ADJ
ústavní,0,Ano0,ADJ
krize,0,Ano0,NOUN
a,0,Ano0,CCONJ
politického,0,Ano0,ADJ
napětí,1,Ano0,NOUN
.,1,Ano0,PUNCT
I,0,Ano0,CCONJ
přes,1,Ano0,ADP
tento,0,Ano0,DET
složitý,0,Ano0,ADJ
problém,0,Ano0,NOUN
uskutečnilo,1,Ano0,VERB
Turecko,0,Ano0,PROPN
své,1,Ano0,DET
parlamentní,0,Ano0,ADJ
a,0,Ano0,CCONJ
prezidentské,0,Ano0,ADJ
volby,0,Ano0,NOUN
v,1,Ano0,ADP
duchu,1,Ano0,NOUN
demokratických,0,Ano0,ADJ
zásad,0,Ano0,NOUN
a,0,Ano0,CCONJ
s,1,Ano0,ADP
velmi,0,Ano0,ADV
vysokou,1,Ano0,ADJ
účastí,0,Ano0,NOUN
obyvatelstva,0,Ano0,NOUN
.,0,Ano0,PUNCT
Sháněl,0,group_0,VERB
",",0,group_0,PUNCT
zabíjel,0,group_0,VERB
a,0,group_0,CCONJ
smažil,0,group_0,VERB
kapry,0,group_0,NOUN
",",0,group_0,PUNCT
kupoval,0,group_0,VERB
a,0,group_0,CCONJ
zdobil,0,group_0,VERB
stromek,0,group_0,NOUN
",",0,group_0,PUNCT
pečlivě,0,group_0,ADV
balil,0,group_0,VERB
dárky,0,group_0,NOUN
a,0,group_0,CCONJ
k,1,group_0,ADP
večeři,0,group_0,NOUN
se,0,group_0,PRON
převlékal,0,group_0,VERB
do,0,group_0,ADP
slavnostního,0,group_0,ADJ
.,0,group_0,PUNCT
Všechny,0,group_0,DET
ty,0,group_0,DET
obvyklé,0,group_0,ADJ
věci,0,group_0,NOUN
.,0,group_0,PUNCT
Když,0,group_0,SCONJ
se,0,group_0,PRON
před,1,group_0,ADP
třemi,0,group_0,NUM
lety,0,group_0,NOUN
rozvedl,0,group_0,VERB
",",0,group_0,PUNCT
Vánoce,0,group_0,PROPN
pro,0,group_0,ADP
něho,0,group_0,PRON
prakticky,0,group_0,ADV
ztratily,1,group_0,VERB
smysl,0,group_0,NOUN
.,0,group_0,PUNCT
Také,0,group_0,ADV
letošní,0,group_0,ADJ
svátky,0,group_0,NOUN
klidu,0,group_0,NOUN
a,0,group_0,CCONJ
míru,0,group_0,NOUN
byly,0,group_0,AUX
jen,0,group_0,ADV
nepříjemnou,0,group_0,ADJ
připomínkou,0,group_0,NOUN
skutečnosti,0,group_0,NOUN
",",0,group_0,PUNCT
že,0,group_0,SCONJ
bez,0,group_0,ADP
rodiny,0,group_0,NOUN
není,0,group_0,AUX
jaksi,0,group_0,ADV
co,0,group_0,PRON
oslavovat,0,group_0,VERB
.,0,group_0,PUNCT
Oskar,0,group_0,PROPN
sice,0,group_0,CCONJ
zrovna,0,group_0,ADV
chodil,1,group_0,VERB
s,0,group_0,ADP
jistou,0,group_0,ADJ
mladou,0,group_0,ADJ
dívkou,0,group_0,NOUN
",",0,group_0,PUNCT
ale,0,group_0,CCONJ
tu,0,group_0,DET
tak,0,group_0,ADV
často,0,group_0,ADV
přesvědčoval,0,group_0,VERB
o,0,group_0,ADP
své,0,group_0,DET
potřebě,0,group_0,NOUN
samoty,0,group_0,NOUN
a,0,group_0,CCONJ
nezávislosti,0,group_0,NOUN
",",0,group_0,PUNCT
že,0,group_0,SCONJ
ji,0,group_0,PRON
po,0,group_0,ADP
pravdě,0,group_0,NOUN
řečeno,0,group_0,ADJ
vůbec,0,group_0,PART
nenapadlo,1,group_0,VERB
",",1,group_0,PUNCT
aby,0,group_0,_
na,1,group_0,ADP
Vánoce,0,group_0,PROPN
zůstala,0,group_0,VERB
s,0,group_0,ADP
ním,0,group_0,PRON
",",0,group_0,PUNCT
a,0,group_0,CCONJ
odjela,0,group_0,VERB
na,1,group_0,ADP
čtrnáct,0,group_0,NUM
dní,0,group_0,NOUN
k,0,group_0,ADP
rodičům,0,group_0,NOUN
na,1,group_0,ADP
Moravu,0,group_0,PROPN
.,0,group_0,PUNCT
Kdyby,0,group_0,_
mohl,0,group_0,VERB
",",0,group_0,PUNCT
nejradši,0,group_0,ADV
by,0,group_0,AUX
se,0,group_0,PRON
na,1,group_0,ADP
celý,0,group_0,ADJ
ty,0,group_0,DET
slavný,1,group_0,ADJ
Vánoce,0,group_0,PROPN
vykašlal,1,group_0,VERB
",",1,group_0,PUNCT
říkal,0,group_0,VERB
si,0,group_0,PRON
Oskar,0,group_0,PROPN
-,0,group_0,PUNCT
jenže,0,group_0,CCONJ
nemohl,0,group_0,VERB
.,0,group_0,PUNCT
Jednak,0,group_0,CCONJ
tu,1,group_0,ADV
byli,0,group_0,AUX
rodiče,0,group_0,NOUN
a,0,group_0,CCONJ
ostatní,0,group_0,ADJ
příbuzní,0,group_0,NOUN
",",0,group_0,PUNCT
a,0,group_0,CCONJ
pak,0,group_0,ADV
tu,1,group_0,ADV
byl,0,group_0,AUX
jeho,0,group_0,DET
syn,0,group_0,NOUN
.,0,group_0,PUNCT
Především,0,group_0,ADV
kvůli,0,group_0,ADP
němu,0,group_0,PRON
Oskar,0,group_0,PROPN
tradici,0,group_0,NOUN
Vánoc,0,group_0,PROPN
",",0,group_0,PUNCT
tu,0,group_0,DET
poloviční,0,group_0,ADJ
mrtvolu,1,group_0,NOUN
",",1,group_0,PUNCT
každoročně,0,group_0,ADV
s,1,group_0,ADP
odporem,0,group_0,NOUN
resuscitoval,1,group_0,VERB
:,1,group_0,PUNCT
za,0,group_0,ADP
jediné,0,group_0,ADJ
odpoledne,0,group_0,NOUN
nakoupil,0,group_0,VERB
dárky,0,group_0,NOUN
",",0,group_0,PUNCT
uklidil,0,group_0,VERB
jakž,0,group_0,ADV
takž,0,group_0,ADV
byt,0,group_0,NOUN
",",0,group_0,PUNCT
koupil,0,group_0,VERB
pár,0,group_0,NOUN
smrkových,0,group_0,ADJ
větví,0,group_0,NOUN
",",0,group_0,PUNCT
strčil,0,group_0,VERB
je,0,group_0,PRON
do,0,group_0,ADP
vázy,0,group_0,NOUN
",",0,group_0,PUNCT
vyštrachal,0,group_0,VERB
několik,0,group_0,DET
zaprášených,0,group_0,ADJ
ozdob,0,group_0,NOUN
a,0,group_0,CCONJ
dvě,0,group_0,NUM
tři,0,group_0,NUM
použitelné,0,group_0,ADJ
svíčky,0,group_0,NOUN
a,0,group_0,CCONJ
bylo,0,group_0,AUX
to,0,group_0,DET
.,0,group_0,PUNCT
Syna,0,group_0,NOUN
(,1,group_0,PUNCT
v,1,group_0,ADP
listopadu,0,group_0,NOUN
mu,0,group_0,PRON
bylo,0,group_0,AUX
sedm,0,group_0,NUM
),0,group_0,PUNCT
mu,0,group_0,PRON
tentokrát,0,group_0,ADV
bývalá,0,group_0,ADJ
manželka,0,group_0,NOUN
přivezla,0,group_0,VERB
už,0,group_0,ADV
osmnáctého,0,group_0,ADJ
prosince,0,group_0,NOUN
ráno,0,group_0,ADV
",",0,group_0,PUNCT
zítra,0,group_0,ADV
v,1,group_0,ADP
poledne,0,group_0,NOUN
si,0,group_0,PRON
ho,0,group_0,PRON
vyzvedne,1,group_0,VERB
",",1,group_0,PUNCT
oznámila,0,group_0,VERB
mu,0,group_0,PRON
.,0,group_0,PUNCT
„,0,group_0,PUNCT
Dobře,0,group_0,ADV
",",0,group_0,PUNCT
”,0,group_0,PUNCT
řekl,0,group_0,VERB
Oskar,0,group_0,PROPN
co,0,group_0,SCONJ
možná,0,group_0,ADV
klidně,0,group_0,ADV
.,0,group_0,PUNCT
Později,0,group_0,ADV
to,0,group_0,DET
prý,0,group_0,PART
nejde,0,group_0,VERB
",",0,group_0,PUNCT
odjíždějí,0,group_0,VERB
na,1,group_0,ADP
hory,0,group_0,NOUN
",",0,group_0,PUNCT
dostalo,0,group_0,VERB
se,0,group_0,PRON
mu,0,group_0,PRON
vysvětlení,0,group_0,NOUN
.,0,group_0,PUNCT
Oskar,0,group_0,PROPN
lhostejně,0,group_0,ADV
přikývl,0,group_0,VERB
.,0,group_0,PUNCT
Takže,0,group_0,SCONJ
letos,0,group_0,ADV
bude,0,group_0,AUX
Štědrý,0,group_0,ADJ
den,0,group_0,NOUN
už,0,group_0,ADV
osmnáctého,0,group_0,ADJ
.,0,group_0,PUNCT
Příští,0,group_0,ADJ
rok,0,group_0,NOUN
možná,0,group_0,ADV
už,0,group_0,ADV
devátého,0,group_0,ADJ
…,0,group_0,PUNCT
Ale,0,group_0,CCONJ
co,0,group_0,PART
",",0,group_0,PUNCT
pomyslel,0,group_0,VERB
si,0,group_0,PRON
v,1,group_0,ADP
duchu,1,group_0,NOUN
",",1,group_0,PUNCT
pokud,0,group_0,SCONJ
jde,1,group_0,VERB
o,0,group_0,ADP
něj,0,group_0,PRON
",",0,group_0,PUNCT
může,0,group_0,VERB
ty,0,group_0,DET
podělaný,1,group_0,ADJ
Vánoce,0,group_0,NOUN
slavit,0,group_0,VERB
třeba,0,group_0,ADV
v,1,group_0,ADP
červenci,0,group_0,NOUN
.,0,group_0,PUNCT
Jemu,0,group_0,PRON
je,0,group_0,AUX
to,0,group_0,DET
jedno,1,group_0,NUM
.,1,group_0,PUNCT
„,0,group_0,PUNCT
Hezký,0,group_0,ADJ
Vánoce,0,group_0,PROPN
",",0,group_0,PUNCT
”,0,group_0,PUNCT
popřála,0,group_0,VERB
mu,0,group_0,PRON
exmanželka,0,group_0,NOUN
",",0,group_0,PUNCT
přibouchla,0,group_0,VERB
dveře,0,group_0,NOUN
od,0,group_0,ADP
auta,0,group_0,NOUN
a,0,group_0,CCONJ
odjela,0,group_0,VERB
.,0,group_0,PUNCT
Sli,0,group_0,VERB
se,0,group_0,ADP
synem,0,group_0,NOUN
do,0,group_0,ADP
kina,0,group_0,NOUN
",",0,group_0,PUNCT
po,0,group_0,ADP
filmu,0,group_0,NOUN
si,0,group_0,PRON
dali,0,group_0,VERB
v,0,group_0,ADP
pizzerii,0,group_0,NOUN
oběd,0,group_0,NOUN
a,0,group_0,CCONJ
nakonec,0,group_0,ADV
se,0,group_0,PRON
stavili,0,group_0,VERB
doma,0,group_0,ADV
pro,0,group_0,ADP
kapra,0,group_0,NOUN
.,0,group_0,PUNCT
Oskar,0,group_0,PROPN
ho,0,group_0,PRON
opatrně,0,group_0,ADV
vyndal,0,group_0,VERB
z,0,group_0,ADP
vany,0,group_0,NOUN
",",0,group_0,PUNCT
zabalil,0,group_0,VERB
ho,0,group_0,PRON
do,0,group_0,ADP
mokré,0,group_0,ADJ
utěrky,0,group_0,NOUN
a,0,group_0,CCONJ
uložil,0,group_0,VERB
do,0,group_0,ADP
igelitové,0,group_0,ADJ
tašky,0,group_0,NOUN
.,0,group_0,PUNCT
Potom,0,group_0,ADV
šli,0,group_0,VERB
k,0,group_0,ADP
Vltavě,0,group_0,PROPN
",",0,group_0,PUNCT
aby,0,group_0,_
ho,0,group_0,PRON
pustili,0,group_0,VERB
na,1,group_0,ADP
svobodu,0,group_0,NOUN
-,0,group_0,PUNCT
tuhle,0,group_0,DET
sentimentální,0,group_0,ADJ
kravinu,0,group_0,NOUN
podstupoval,0,group_0,VERB
Oskar,0,group_0,PROPN
obzvláště,0,group_0,ADV
nerad,0,group_0,ADJ
",",0,group_0,PUNCT
ale,0,group_0,CCONJ
kvůli,0,group_0,ADP
synovi,0,group_0,NOUN
se,0,group_0,PRON
každý,0,group_0,DET
rok,0,group_0,NOUN
nakonec,0,group_0,ADV
vždycky,0,group_0,ADV
přemohl,1,group_0,VERB
.,1,group_0,PUNCT
Cestou,0,group_0,NOUN
se,0,group_0,PRON
koulovali,0,group_0,VERB
špinavým,0,group_0,ADJ
městským,0,group_0,ADJ
sněhem,0,group_0,NOUN
",",0,group_0,PUNCT
nahlíželi,0,group_0,VERB
do,0,group_0,ADP
osvětlených,0,group_0,ADJ
výloh,0,group_0,NOUN
přecpaných,0,group_0,ADJ
obchodů,0,group_0,NOUN
a,0,group_0,CCONJ
v,0,group_0,ADP
jednom,0,group_0,NUM
z,0,group_0,ADP
nich,0,group_0,PRON
společně,0,group_0,ADV
vybrali,0,group_0,VERB
dárek,0,group_0,NOUN
mámě,0,group_0,NOUN
.,0,group_0,PUNCT
Než,0,group_0,SCONJ
dorazili,0,group_0,VERB
k,0,group_0,ADP
řece,0,group_0,NOUN
",",0,group_0,PUNCT
setmělo,0,group_0,VERB
se,0,group_0,PRON
.,0,group_0,PUNCT
Nábřeží,0,group_0,NOUN
bylo,0,group_0,AUX
mizerně,0,group_0,ADV
osvětlené,0,group_0,ADJ
a,0,group_0,CCONJ
Oskar,0,group_0,PROPN
se,0,group_0,PRON
bál,0,group_0,VERB
",",0,group_0,PUNCT
aby,0,group_0,_
syn,0,group_0,NOUN
nespadl,0,group_0,VERB
do,0,group_0,ADP
vody,0,group_0,NOUN
.,0,group_0,PUNCT
Vybalil,0,group_0,VERB
kapra,0,group_0,NOUN
",",0,group_0,PUNCT
volnou,0,group_0,ADJ
rukou,0,group_0,NOUN
objal,0,group_0,VERB
chlapce,0,group_0,NOUN
kolem,0,group_0,ADP
pasu,0,group_0,NOUN
a,0,group_0,CCONJ
společně,0,group_0,ADV
se,0,group_0,PRON
naklonili,0,group_0,VERB
nad,0,group_0,ADP
černou,0,group_0,ADJ
hladinu,0,group_0,NOUN
.,0,group_0,PUNCT
„,0,group_0,PUNCT
Milý,0,group_0,ADJ
kapříku,0,group_0,NOUN
",",0,group_0,PUNCT
přejeme,0,group_0,VERB
ti,0,group_0,PRON
",",0,group_0,PUNCT
aby,0,group_0,_
ses,0,group_0,PRON
tu,0,group_0,ADV
měl,0,group_0,VERB
moc,0,group_0,ADV
krásně,0,group_0,ADV
a,0,group_0,CCONJ
našel,0,group_0,VERB
sis,0,group_0,AUX
tu,0,group_0,ADV
nové,0,group_0,ADJ
kamarády,0,group_0,NOUN
",",0,group_0,PUNCT
”,0,group_0,PUNCT
popřál,0,group_0,VERB
rybě,0,group_0,NOUN
s,0,group_0,ADP
dojemnou,0,group_0,ADJ
vážností,0,group_0,NOUN
syn,0,group_0,NOUN
.,0,group_0,PUNCT
„,0,group_0,PUNCT
Tak,0,group_0,CCONJ
tě,0,group_0,PRON
pic,0,group_0,VERB
a,0,group_0,CCONJ
děkuj,0,group_0,VERB
bohu,0,group_0,NOUN
",",0,group_0,PUNCT
že,0,group_0,SCONJ
jsme,0,group_0,AUX
tě,0,group_0,PRON
nesežrali,0,group_0,VERB
",",0,group_0,PUNCT
”,0,group_0,PUNCT
doplnil,0,group_0,VERB
Oskar,0,group_0,PROPN
.,0,group_0,PUNCT
Syn,0,group_0,NOUN
se,0,group_0,PRON
rozesmál,0,group_0,VERB
",",0,group_0,PUNCT
ale,0,group_0,CCONJ
potom,0,group_0,ADV
už,0,group_0,ADV
ze,0,group_0,ADP
sebe,0,group_0,PRON
smích,0,group_0,NOUN
křečovitě,0,group_0,ADV
nutil,0,group_0,VERB
",",0,group_0,PUNCT
což,0,group_0,PRON
byla,0,group_0,AUX
jedna,0,group_0,NUM
z,0,group_0,ADP
věcí,0,group_0,NOUN
",",0,group_0,PUNCT
které,0,group_0,DET
šly,1,group_0,VERB
Oskarovy,0,group_0,ADJ
odjakživa,0,group_0,ADV
na,1,group_0,ADP
nervy,1,group_0,NOUN
.,1,group_0,PUNCT
„,0,group_0,PUNCT
Raz,0,group_0,INTJ
",",0,group_0,PUNCT
dva,0,group_0,NUM
",",0,group_0,PUNCT
tři,0,group_0,NUM
!,0,group_0,PUNCT
”,0,group_0,PUNCT
zvolal,0,group_0,VERB
a,0,group_0,CCONJ
s,0,group_0,ADP
okázalým,0,group_0,ADJ
rozmachem,0,group_0,NOUN
hodil,0,group_0,VERB
kapra,0,group_0,NOUN
do,0,group_0,ADP
vody,0,group_0,NOUN
.,0,group_0,PUNCT
„,0,group_0,PUNCT
Tak,0,group_0,ADV
plav,0,group_0,VERB
a,0,group_0,CCONJ
bud,0,group_0,AUX
rád,0,group_0,ADJ
",",0,group_0,PUNCT
že,0,group_0,SCONJ
jsme,0,group_0,AUX
tě,0,group_0,PRON
nesežrali,0,group_0,VERB
!,0,group_0,PUNCT
”,0,group_0,NOUN
vykřikl,0,group_0,VERB
syn,0,group_0,NOUN
.,0,group_0,PUNCT
Ryba,0,group_0,NOUN
se,0,group_0,PRON
potopila,0,group_0,VERB
a,0,group_0,CCONJ
hned,0,group_0,ADV
vzápětí,0,group_0,ADV
zase,0,group_0,ADV
vynořila,0,group_0,VERB
",",0,group_0,PUNCT
avšak,0,group_0,CCONJ
namísto,0,group_0,ADP
očekávaného,0,group_0,ADJ
bystrého,0,group_0,ADJ
",",0,group_0,PUNCT
ne,0,group_0,PART
-,0,group_0,PUNCT
li,0,group_0,SCONJ
přímo,0,group_0,ADV
vděčného,0,group_0,ADJ
švihnutí,0,group_0,NOUN
ocasní,0,group_0,ADJ
ploutví,0,group_0,NOUN
se,0,group_0,PRON
pomalu,0,group_0,ADV
",",0,group_0,PUNCT
ale,0,group_0,CCONJ
nezadržitelně,0,group_0,ADV
otočila,0,group_0,VERB
světlým,0,group_0,ADJ
břichem,0,group_0,NOUN
vzhůru,0,group_0,ADV
.,0,group_0,PUNCT
Dítě,0,group_0,NOUN
okamžitě,0,group_0,ADV
zvážnělo,0,group_0,VERB
a,0,group_0,CCONJ
nervózně,0,group_0,ADV
vzhlédlo,0,group_0,VERB
k,0,group_0,ADP
otci,0,group_0,NOUN
.,0,group_0,PUNCT
„,0,group_0,PUNCT
Není,0,group_0,AUX
mrtvej,0,group_0,ADJ
",",0,group_0,PUNCT
že,0,group_0,SCONJ
ne,0,group_0,PART
?,0,group_0,PUNCT
”,0,group_0,PUNCT
tázalo,0,group_0,VERB
se,0,group_0,PRON
s,1,group_0,ADP
úzkostí,0,group_0,NOUN
v,1,group_0,ADP
hlase,0,group_0,NOUN
.,0,group_0,PUNCT
Oskar,0,group_0,PROPN
se,0,group_0,PRON
snažil,0,group_0,VERB
skrýt,1,group_0,VERB
paniku,0,group_0,NOUN
a,0,group_0,CCONJ
s,1,group_0,ADP
předstíraným,0,group_0,ADJ
klidem,0,group_0,NOUN
se,0,group_0,PRON
díval,0,group_0,VERB
",",0,group_0,PUNCT
jak,0,group_0,SCONJ
ledový,0,group_0,ADJ
černý,0,group_0,ADJ
proud,0,group_0,NOUN
unáší,0,group_0,VERB
nehybné,0,group_0,ADJ
rybí,0,group_0,ADJ
tělo,0,group_0,NOUN
kamsi,0,group_0,ADV
k,0,group_0,ADP
pilířům,0,group_0,NOUN
železničního,0,group_0,ADJ
mostu,0,group_0,NOUN
.,0,group_0,PUNCT
„,0,group_0,PUNCT
Neboj,0,group_0,VERB
",",0,group_0,PUNCT
bude,0,group_0,AUX
v,1,group_0,ADP
pohodě,0,group_0,NOUN
